#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 01 02 22 50 103 13.8 17.6  2.93 12.90  7.66 259 1012.5   5.3   8.8   4.3 99.0 99.00
2020 01 02 23 20 102 14.5 17.2  3.05 14.81  7.49 262 1011.5   5.3   8.8   4.7 99.0 99.00
2020 01 02 23 50  99 14.0 17.5  3.09 14.81  7.49 241 1011.2   5.4   8.8   5.0 99.0 99.00
2020 01 03 00 20 101 13.6 16.4  2.94 13.79  7.17 245 1010.8   5.1   8.8   5.0 99.0 99.00
2020 01 03 00 50 103 13.0 15.9  2.91 14.81  7.16 246 1010.3   5.4   8.8   5.4 99.0 99.00
2020 01 03 01 20 103 12.4 15.6  2.55 13.79  6.78 260 1010.0   5.6   8.8   5.6 99.0 99.00
2020 01 03 01 50 108 12.3 15.8  2.69 13.79  7.24 265 1009.5   5.7   8.8   5.7 99.0 99.00
2020 01 03 02 20 108 12.9 16.2  2.60 13.79  7.25 269 1009.0   5.8   8.8   5.8 99.0 99.00
2020 01 03 02 50 104 12.8 15.4  2.77 13.79  7.37 252 1008.7   6.0   8.8   6.0 99.0 99.00
2020 01 03 03 20 103 10.1 12.7  2.68 13.79  7.33 250 1008.8   6.2   8.8   6.2 99.0 99.00
2020 01 03 03 50 103  9.9 12.2  2.74 14.81  7.54 274 1008.7   6.3   8.8   6.3 99.0 99.00
2020 01 03 04 20  93  9.5 17.9  2.84 12.90  7.60 255 1008.2   7.0   8.8   7.0 99.0 99.00
2020 01 03 04 50 127  7.0 11.1  2.98 12.90  7.48 259 1008.7   7.3   8.8   7.3 99.0 99.00
2020 01 03 05 20 179 11.5 13.6  3.18 13.79  7.83 259 1008.0  10.0   8.8  10.0 99.0 99.00
2020 01 03 05 50 185 11.6 13.8  3.17 12.12  7.77 261 1008.1  10.1   8.8  10.1 99.0 99.00
2020 01 03 06 20 185 13.0 16.1  3.16 13.79  7.58 268 1008.0  10.1   8.9  10.1 99.0 99.00
2020 01 03 06 50 184 12.9 15.1  2.95 14.81  7.08 261 1008.2  10.0   8.9  10.0 99.0 99.00
2020 01 03 07 20 181 12.6 16.1  3.13 13.79  7.41 267 1008.0  10.0   8.8  10.0 99.0 99.00
2020 01 03 07 50 183 13.2 15.7  3.22 12.12  7.54 254 1007.7  10.1   8.8  10.1 99.0 99.00
2020 01 03 08 20 182 12.9 15.5  2.97 12.12  6.87 251 1007.6  10.0   8.8  10.0 99.0 99.00
2020 01 03 08 50 182 12.7 14.9  2.87 12.90  6.97 266 1007.6  10.0   8.8  10.0 99.0 99.00
2020 01 03 09 20 181 12.4 15.2  2.93 13.79  6.90 256 1007.3  10.1   8.8  10.1 99.0 99.00
2020 01 03 09 50 181 11.2 13.4  3.10 14.81  7.19 255 1007.5  10.0   8.8  10.0 99.0 99.00
2020 01 03 10 20 185 12.8 15.3  2.86 13.79  7.04 255 1007.4  10.0   8.8  10.0 99.0 99.00
2020 01 03 10 50 180 13.4 17.1  2.98 12.90  6.84 257 1007.1  10.0   8.9  10.0 99.0 99.00
2020 01 03 11 20 178 14.7 17.4  2.88 14.81  6.73 270 1006.3  10.3   8.9  10.3 99.0 99.00
2020 01 03 11 50 179 14.0 16.9  3.00 14.81  6.89 253 1005.7  10.3   8.9  10.3 99.0 99.00
2020 01 03 12 20 177 15.3 18.6  3.29  7.69  6.77 237 1005.0  10.5   8.9  10.5 99.0 99.00
2020 01 03 12 50 176 16.2 19.3  2.68  7.69  6.30 231 1004.6  10.4   8.9  10.4 99.0 99.00
2020 01 03 13 20 178 17.2 21.7  3.20 12.90  6.76 254 1004.2  10.6   8.9  10.2 99.0 99.00
2020 01 03 13 50 180 17.0 22.7  3.15  7.69  6.50 229 1004.8  11.0   9.0   9.8 99.0 99.00
2020 01 03 14 20 172 14.1 17.8  3.16  7.69  6.43 229 1006.4  11.0   9.0   9.7 99.0 99.00
2020 01 03 14 50 179 11.8 16.6  3.00  8.33  6.44 237 1007.7  11.2   9.0   9.3 99.0 99.00
2020 01 03 15 20 178 10.7 13.4  2.56 10.00  6.34 258 1008.4  11.5   9.1   8.9 99.0 99.00
2020 01 03 15 50 187 12.8 18.0  2.76  9.09  6.92 266 1008.2  11.5   9.1   8.9 99.0 99.00
2020 01 03 16 20 184 11.0 14.7  2.75 12.90  6.97 297 1008.5  10.8   9.1   9.4 99.0 99.00
2020 01 03 16 50 175 10.0 14.0  2.76 10.81  6.95 278 1008.9  10.4   9.1   9.8 99.0 99.00
2020 01 03 17 20 176  8.9 13.9  2.85 10.81  7.92 270 1009.1  10.3   9.1   9.9 99.0 99.00
2020 01 03 17 50 174  8.5 10.3  2.65 10.00  7.98 237 1009.3  10.3   9.2  10.0 99.0 99.00
2020 01 03 18 20 172  8.4 11.1  3.02 10.00  8.17 245 1009.3  10.4   9.2   9.9 99.0 99.00
2020 01 03 18 50 161 10.2 13.3  3.29 12.12  8.94 265 1009.1  10.6   9.2   9.8 99.0 99.00
2020 01 03 19 20 163 10.2 12.4  3.28 12.90  8.36 237 1008.2  10.8   9.2   9.6 99.0 99.00
2020 01 03 19 50 167 11.0 14.2  2.75 10.00  7.71 252 1007.6  11.0   9.3   9.3 99.0 99.00
2020 01 03 20 20 152 11.6 14.7  3.16 12.12  7.66 269 1006.9  11.0   9.3   9.3 99.0 99.00
2020 01 03 20 50 147 13.0 17.3  3.09 12.90  7.54 261 1005.8  11.1   9.3   9.2 99.0 99.00
2020 01 03 21 20 153 13.2 17.2  3.01 12.90  7.41 257 1005.3  11.0   9.3   9.2 99.0 99.00
2020 01 03 21 50 155 11.5 16.4  3.15 11.43  7.83 261 1005.1  10.6   9.3   9.5 99.0 99.00
2020 01 03 22 20 152 12.6 15.4  3.34 12.90  7.57 253 1004.1  10.7   9.2   9.2 99.0 99.00
2020 01 03 22 50 157 14.0 17.3  3.63 10.00  7.39 246 1003.2  11.0   9.3   9.4 99.0 99.00
2020 01 03 23 20 156 15.1 19.9  3.77 10.81  7.34 245 1001.8  11.0   9.2   9.5 99.0 99.00
2020 01 03 23 50 160 15.6 18.8  3.67 11.43  7.24 249 1001.2  10.9   9.3   9.8 99.0 99.00
2020 01 04 00 20 163 15.5 21.4  3.89 11.43  7.48 249 1000.8  11.1   9.3  10.2 99.0 99.00
2020 01 04 00 50 166 15.2 19.4  4.16 10.81  7.83 246 1000.5  11.0   9.3  10.2 99.0 99.00
2020 01 04 01 20 180 16.8 21.1  3.96 10.00  7.78 234 1000.6  10.3   9.3   9.9 99.0 99.00
2020 01 04 01 50 202  8.5 11.4  4.06 12.12  7.92 251 1002.1   9.5   9.3   9.5 99.0 99.00
2020 01 04 02 20 193 10.4 13.2  4.19 10.81  8.25 242 1001.8   9.6   9.4   9.6 99.0 99.00
2020 01 04 02 50 202  9.9 12.2  4.00 11.43  8.48 241 1002.2   9.7   9.2   9.7 99.0 99.00
2020 01 04 03 20 225  9.5 12.5  3.65 12.90  8.21 252 1002.6   9.6   9.1   8.8 99.0 99.00
2020 01 04 03 50 207 10.0 12.2  3.66 12.12  8.24 256 1002.6   9.7   9.1   8.3 99.0 99.00
2020 01 04 04 20 267  9.7 12.4  4.19 12.12  8.73 250 1003.4   9.0   9.2   7.8 99.0 99.00
2020 01 04 04 50 274 10.3 13.2  3.65 11.43  8.39 238 1004.0   9.0   9.2   8.0 99.0 99.00
2020 01 04 05 20 271  7.2  9.0  4.11 12.12  8.67 237 1004.6   9.0   9.2   6.7 99.0 99.00
2020 01 04 05 50 264  7.4 14.5  3.33 12.12  8.47 236 1005.0   9.1   9.3   7.7 99.0 99.00
2020 01 04 06 20 270  6.9  8.5  3.55 12.90  9.59 238 1005.7   9.2   9.3   6.9 99.0 99.00
2020 01 04 06 50 254  8.3 10.0  3.38 11.43  9.04 259 1006.2   8.9   9.3   6.9 99.0 99.00
2020 01 04 07 20 272  9.6 12.8  3.26 12.12  9.05 229 1007.0   8.9   9.3   7.1 99.0 99.00
2020 01 04 07 50 273 11.5 13.8  3.52 12.12  8.75 231 1007.5   9.3   9.2   6.7 99.0 99.00
2020 01 04 08 20 277 12.2 15.6  3.08 12.90  7.92 227 1008.1   8.9   9.2   5.9 99.0 99.00
2020 01 04 08 50 275 13.5 16.3  3.30 12.90  7.73 241 1008.8   9.0   9.2   3.9 99.0 99.00
2020 01 04 09 20 268 13.2 16.6  3.25 11.43  7.51 236 1009.5   8.5   9.2   3.0 99.0 99.00
2020 01 04 09 50 269 12.7 14.8  3.35 12.12  7.53 236 1010.2   8.8   9.2   3.8 99.0 99.00
2020 01 04 10 20 271 14.4 17.7  3.83 12.12  8.20 227 1010.8   8.9   9.2   0.8 99.0 99.00
2020 01 04 10 50 268 12.8 15.6  3.92 12.12  7.87 245 1011.5   8.8   9.2   2.3 99.0 99.00
2020 01 04 11 20 264 13.1 18.4  3.61 12.12  7.61 243 1012.2   7.8   9.2   3.1 99.0 99.00
2020 01 04 11 50 259 13.4 15.3  3.63 10.81  7.51 239 1013.0   8.7   9.2   2.6 99.0 99.00
2020 01 04 12 20 230 13.5 17.0  3.84 11.43  7.79 241 1013.6   7.2   9.2   4.3 99.0 99.00
2020 01 04 12 50 236 11.2 13.9  3.72 12.12  7.73 243 1014.2   7.7   9.3   5.0 99.0 99.00
2020 01 04 13 20 259 11.9 15.3  4.02 12.12  7.93 243 1014.6   7.9   9.2   4.2 99.0 99.00
2020 01 04 13 50 255 13.0 17.4  4.12 12.12  8.03 251 1015.2   7.5   9.2   3.2 99.0 99.00
2020 01 04 14 20 265 12.9 17.0  3.95 12.12  8.09 256 1015.9   7.8   9.2   2.7 99.0 99.00
2020 01 04 14 50 248  9.8 13.1  4.48 11.43  8.50 246 1016.8   6.7   9.2   4.0 99.0 99.00
2020 01 04 15 20 232 11.8 14.5  4.06 12.12  7.88 240 1016.9   7.4   9.2   4.1 99.0 99.00
2020 01 04 15 50 243 11.7 14.7  3.71 11.43  7.43 263 1017.5   8.2   9.3   3.9 99.0 99.00
2020 01 04 16 20 264 10.7 15.3  4.06 11.43  8.12 242 1018.5   6.4   9.3   4.5 99.0 99.00
2020 01 04 16 50 245  9.4 11.6  3.86 12.12  8.01 256 1019.0   7.9   9.3   3.9 99.0 99.00
2020 01 04 17 20 235  8.2 10.2  3.35 12.12  8.03 249 1019.9   8.0   9.3   4.2 99.0 99.00
2020 01 04 17 50 226 12.8 17.4  4.18 11.43  8.99 254 1020.6   6.4   9.2   4.7 99.0 99.00
2020 01 04 18 20 229  5.3  6.4  3.68 11.43  8.75 261 1021.2   7.4   9.2   4.3 99.0 99.00
2020 01 04 18 50 210  7.9 10.1  3.53 12.12  9.19 260 1021.4   8.0   9.2   4.9 99.0 99.00
2020 01 04 19 20 208  5.7  7.3  3.63 12.12  9.09 264 1021.7   7.7   9.2   5.0 99.0 99.00
2020 01 04 19 50 195  5.3  9.2  3.50 11.43  8.79 259 1021.6   8.3   9.2   5.8 99.0 99.00
2020 01 04 20 20 213  8.1  9.8  3.78 12.12  9.38 261 1021.6   8.9   9.1   5.2 99.0 99.00
2020 01 04 20 50 198 10.8 13.3  3.45 12.12  9.13 266 1021.5   8.0   9.1   5.4 99.0 99.00
2020 01 04 21 20 214  6.8  9.2  3.56 12.12  8.79 254 1022.2   8.4   9.1   5.8 99.0 99.00
2020 01 04 21 50 234  9.2 11.4  3.09 12.12  8.34 253 1022.1   9.2   9.2   5.0 99.0 99.00
2020 01 04 22 20 220 10.7 12.8  3.48 11.43  8.98 253 1022.1   9.4   9.2   5.3 99.0 99.00
2020 01 04 22 50 207 10.8 16.1  3.62 12.12  8.69 241 1022.4   9.2   9.2   5.9 99.0 99.00
2020 01 04 23 20 247  9.2 12.4  3.72 11.43  8.48 238 1022.7   8.6   9.2   4.0 99.0 99.00
2020 01 04 23 50 196  9.3 10.9  3.79 12.12  8.33 246 1023.0   8.4   9.1   5.2 99.0 99.00
2020 01 05 00 20 192  8.3 10.0  3.79 12.12  8.34 256 1022.9   8.6   9.1   5.2 99.0 99.00
2020 01 05 00 50 195  7.4  9.9  3.47 12.12  8.33 237 1023.1   8.4   9.1   5.4 99.0 99.00
2020 01 05 01 20 179  9.0 11.2  3.75 12.12  8.56 244 1023.1   7.8   9.1   5.6 99.0 99.00
2020 01 05 01 50 190  8.5 10.2  3.52 12.12  8.41 251 1023.0   8.6   9.1   5.0 99.0 99.00
2020 01 05 02 20 185  6.2  7.8  4.10 11.43  9.08 245 1023.0   7.9   9.0   6.2 99.0 99.00
